Title,Chemical_Name,MW,clogP,TPSA,Acceptor,Donor,RotBonds
F6845-0033,"5'-(propan-2-yl)-8-azaspiro[bicyclo[3.2.1]octane-3,2'-[1,5]oxazinan]-6'-one hydrochloride",238.33,1.24,41.57,2,1,1
F6482-2348,"1,3-dimethyl-N-(octahydro-1,4-benzodioxin-6-yl)-1H-pyrazole-5-carboxamide",279.33,-0.61,65.38,4,1,2
F3395-1848,1-[2-(pyridin-3-yl)piperidin-1-yl]ethan-1-one,204.27,0.04,33.2,2,1,2
F6546-1184,7-[(pyridin-3-yl)methyl]-7-azabicyclo[2.2.1]heptane,188.26,1.42,16.13,1,2,2
F6541-1260,3-[(pyrrolidin-1-yl)methyl]pyridine dihydrochloride,162.23,1.11,16.13,1,2,2
F2644-0496,"8-amino-1,3-dimethyl-7-(3-methylbutyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",265.31,1.68,84.46,3,2,3
F6617-2271,"2-[3-(propan-2-yl)-1,2,4-oxadiazol-5-yl]pyridine",189.21,1.6,51.81,4,1,2
F6617-2272,"4-[3-(propan-2-yl)-1,2,4-oxadiazol-5-yl]pyridine",189.21,1.39,51.81,4,1,2
F6561-4597,1-{3-methylidene-8-azabicyclo[3.2.1]octan-8-yl}pent-4-en-1-one,205.3,1.43,20.31,1,0,4
F6617-2251,"2-(3-cyclopropyl-1,2,4-oxadiazol-5-yl)pyridine",187.2,1.11,51.81,4,1,2
F6617-2260,"3-(3-cyclopropyl-1,2,4-oxadiazol-5-yl)pyridine",187.2,0.9,51.81,4,1,2
F6619-8932,4-(phenoxymethyl)oxane,192.26,2.31,18.46,2,0,3
F6617-2252,"4-(3-cyclopropyl-1,2,4-oxadiazol-5-yl)pyridine",187.2,0.9,51.81,4,1,2
F6617-2213,"2-methyl-5-(3-methyl-1,2,4-oxadiazol-5-yl)pyridine",175.19,0.96,51.81,4,1,1
F8889-4371,4-(cyclohexyloxy)phenol,192.25,3.61,29.46,2,1,2
F6473-3523,"1-[1-(4-methylthiophene-2-carbonyl)azetidin-3-yl]pyrrolidine-2,5-dione",278.33,0.53,85.93,3,0,3
F6617-5673,"2-chloro-5-(3-methyl-1,2,4-oxadiazol-5-yl)pyridine",195.61,1.21,51.81,4,1,1
F6822-6691,N-cyclopentyl-4-(trifluoromethyl)pyridine-3-carboxamide,258.24,1.36,41.99,2,2,2
F6822-6716,1-methyl-4-[4-(trifluoromethyl)pyridine-3-carbonyl]piperazine,273.26,1.18,36.44,2,2,2
F6617-2225,"3-fluoro-5-(3-methyl-1,2,4-oxadiazol-5-yl)pyridine",179.15,0.64,51.81,4,1,1
F1906-0442,4-phenoxybutan-1-amine,165.24,1.76,60.38,1,1,5
F6617-2496,"4-(5-methyl-1,2,4-oxadiazol-3-yl)pyridine",161.16,0.46,51.81,4,1,1
F6525-0009,"N-({2-methyl-2H,4H,5H,6H-cyclopenta[c]pyrazol-3-yl}methyl)-2-(trifluoromethyl)benzamide",323.31,1.52,46.92,2,1,3
F6477-5333,"1-({2-[(pyridin-2-yl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",288.32,0.64,103.43,4,2,4
F6617-3584,"3-[3-(pyridin-3-yl)-1,2,4-oxadiazol-5-yl]propanoic acid",219.2,-0.28,89.11,6,1,4
F8880-8338,N-[1-(pyridin-3-yl)ethyl]cyclopropanamine,162.24,0.91,24.92,1,2,3
F0634-0003,"7-ethyl-1,3-dimethyl-8-[(piperidin-1-yl)methyl]-2,3,6,7-tetrahydro-1H-purine-2,6-dione",305.38,1.52,28.42,3,2,3
F2158-0913,3-(piperidin-2-yl)pyridine,162.23,0.99,24.92,1,2,1
F6511-9314,"2-[1-(3-bromophenyl)-1H-1,2,3-triazol-4-yl]ethan-1-ol",268.11,1.68,50.94,3,1,3
F6511-9321,"2-[1-(4-bromophenyl)-1H-1,2,3-triazol-4-yl]ethan-1-ol",268.11,1.68,50.94,3,1,3
